,description,price,url
118,"Dell Precision 5000 5560 15.6"" Mobile Workstation - Full HD Plus - 1920 x 1200 - Intel Core i7 11th Gen i7-11850H Octa-core (8 Core) 2.50 GHz - 16 GB RAM - 512 GB SSD - Aluminum Titan Gray - Inte","$2,432.99 –",https://www.newegg.com/p/2WC-0009-014C1?Item=2WC-0009-014C1&Description=laptop&cm_re=laptop-_-2WC-0009-014C1-_-Product
119,"Dell Precision 7000 7560 15.6"" Mobile Workstation - Full HD - 1920 x 1080 - Intel Core i5 11th Gen i5-11500H Hexa-core (6 Core) 2.90 GHz - 16 GB RAM - 256 GB SSD - Gray - Intel WM590 Chip - Windo","$2,490.99 –",https://www.newegg.com/p/2WC-0009-01464?Item=2WC-0009-01464&Description=laptop&cm_re=laptop-_-2WC-0009-01464-_-Product
120,"Dell Precision 3000 3561 15.6"" Mobile Workstation - Full HD - 1920 x 1080 - Intel Core i7 11th Gen i7-11850H Octa-core (8 Core) 2.50 GHz - 16 GB RAM - 512 GB SSD - Titan Gray - Intel Chip - Windo","$2,670.99 –",https://www.newegg.com/p/2WC-0009-014X6?Item=2WC-0009-014X6&Description=laptop&cm_re=laptop-_-2WC-0009-014X6-_-Product
121,"Dell Precision 5000 5560 15.6"" Mobile Workstation - Full HD Plus - 1920 x 1200 - Intel Core i7 11th Gen i7-11800H Octa-core (8 Core) 2.40 GHz - 32 GB RAM - 512 GB SSD - Aluminum Titan Gray - Inte","$2,530.99 –",https://www.newegg.com/p/2WC-0009-014V5?Item=2WC-0009-014V5&Description=laptop&cm_re=laptop-_-2WC-0009-014V5-_-Product
122,"Dell Precision 7000 7560 15.6"" Mobile Workstation - Full HD - 1920 x 1080 - Intel Core i7 11th Gen i7-11850H Octa-core (8 Core) 2.50 GHz - 32 GB RAM - 512 GB SSD - Anodized Titan Gray - Intel Chi","$2,051.99 –",https://www.newegg.com/p/2WC-0009-01473?Item=2WC-0009-01473&Description=laptop&cm_re=laptop-_-2WC-0009-01473-_-Product
123,"Dell Precision 5000 5560 15.6"" Mobile Workstation - Full HD Plus - 1920 x 1200 - Intel Core i7 11th Gen i7-11800H Octa-core (8 Core) 2.40 GHz - 32 GB RAM - 512 GB SSD - Aluminum Titan Gray - Inte",$965.99 –,https://www.newegg.com/p/2WC-0009-014U7?Item=2WC-0009-014U7&Description=laptop&cm_re=laptop-_-2WC-0009-014U7-_-Product
124,"DELL Laptop Latitude 7420 1V918 Intel Core i7 11th Gen 1185G7 (3.00GHz) 16GB Memory 512 GB PCIe SSD Intel Iris Xe Graphics 14.0"" Windows 10 Pro 64-bit",$688.99 –,https://www.newegg.com/dell-latitude-7420-1v918-mainstream/p/1B4-0016-061Z8?Item=1B4-0016-061Z8&Description=laptop&cm_re=laptop-_-1B4-0016-061Z8-_-Product
125,"Dell Latitude 3320 13.3"" Laptop i5-1135G7 8GB 256GB SSD W10P 8KPKX","$1,834.99 –",https://www.newegg.com/p/1TS-000A-0FTR5?Item=1TS-000A-0FTR5&Description=laptop&cm_re=laptop-_-1TS-000A-0FTR5-_-Product
126,"Dell Latitude 3320 13.3"" Laptop i3-1115G4 4GB 128GB SSD W10P 0YJ5G","$1,743.99 –",https://www.newegg.com/p/1TS-000A-0FTR6?Item=1TS-000A-0FTR6&Description=laptop&cm_re=laptop-_-1TS-000A-0FTR6-_-Product
127,"Dell Latitude 7320 13.3"" Laptop i5-1145G7 16GB 256GB SSD W10P R6R3G",$959.99 –,https://www.newegg.com/p/1TS-000A-0FTR9?Item=1TS-000A-0FTR9&Description=laptop&cm_re=laptop-_-1TS-000A-0FTR9-_-Product
128,"Dell Latitude 5420 14"" Laptop i7-1185 G7 8GB 256GB SSD W10 V1YFV","$1,819.99 –",https://www.newegg.com/p/1B4-0016-061X6?Item=1B4-0016-061X6&Description=laptop&cm_re=laptop-_-1B4-0016-061X6-_-Product
129,"Dell Inspiron 14-7405 14"" Touch 16GB 512GB SSD AMD Ryzen™ 7 4700U 3.1GHz Win10H, Sandstorm","$1,699.99 –",https://www.newegg.com/silver-dell-inspiron-14-7405-home-personal/p/1TS-000A-0KCJ3?Item=1TS-000A-0KCJ3&Description=laptop&cm_re=laptop-_-1TS-000A-0KCJ3-_-Product
