description,price,url,condition
"Refurbished: DELL Laptop Latitude E6430 Intel Core i5 3rd Gen 3320M (2.60GHz) 16GB Memory 256 GB SSD 14.0"" Windows 10 Pro 64-Bit",$359.99 –,https://www.newegg.com/dell-latitude-e6430/p/N82E16834296763?Item=N82E16834296763&Description=laptop&cm_re=laptop-_-34-296-763-_-Product,old
"Refurbished: DELL Laptop E5470 Intel Core i5 6300U (2.40GHz) 16GB Memory 512 SSD 14.0"" Windows 10",$466.99 –,https://www.newegg.com/gray-dell-e5470-workstation/p/N82E16834844746?Item=N82E16834844746&Description=laptop&cm_re=laptop-_-34-844-746-_-Product,old
Refurbished: DELL Grade B Laptop Precision 7710 Intel Core i7 6820HQ (2.70GHz) 32GB Memory 512 GB SSD 17.3 Windows 10,$748.99 –,https://www.newegg.com/gray-dell-precision-7710-workstation/p/N82E16834846779?Item=N82E16834846779&Description=laptop&cm_re=laptop-_-34-846-779-_-Product,old
"Refurbished: Dell Latitude E7440 14"" 1920x1080 FHD Laptop PC, Intel Core i5-4300U 1.9-2.9GHz, 16GB DDR3L Memory, 256GB SSD, Win-10 Pro x64 Grade A",$299.99 –,https://www.newegg.com/black-silver-dell-latitude-e7440-mainstream/p/1TS-000A-0BKT1?Item=9SIADT2CAH2939&Description=laptop&cm_re=laptop-_-9SIADT2CAH2939-_-Product,old
"Refurbished: DELL Grade A Laptop Latitude 5490 Intel Core i5 8th Gen 8350U (1.70GHz) 16GB Memory 500 GB PCIe SSD Intel UHD Graphics 620 14.0"" Windows 10 Pro 64-bit",$599.99 –,https://www.newegg.com/dell-latitude-5490-work-business/p/N82E16834343503?Item=N82E16834343503&Description=laptop&cm_re=laptop-_-34-343-503-_-Product,old
"Refurbished: DELL Grade A Laptop Latitude 5580 Intel Core i7 7th Gen 7600U (2.80GHz) 16GB Memory 512 GB SSD Intel HD Graphics 620 15.6"" Windows 10 Pro 64-bit",$713.99 –,https://www.newegg.com/dell-latitude-5580/p/N82E16834343375?Item=N82E16834343375&Description=laptop&cm_re=laptop-_-34-343-375-_-Product,old
"Refurbished: DELL Grade A Laptop Latitude 5480 Intel Core i7 7th Gen 7820HQ (2.90GHz) 16GB Memory 512 GB SSD Intel HD Graphics 630 14.0"" Windows 10 Pro 64-bit",$559.99 –,https://www.newegg.com/dell-latitude-5480/p/N82E16834343392?Item=N82E16834343392&Description=laptop&cm_re=laptop-_-34-343-392-_-Product,old
"Refurbished: DELL Laptop Latitude 5480 Intel Core i5 7th Gen 7300HQ (2.50GHz) 8 GB Memory 256 GB SSD Intel HD Graphics 630 14.0"" Windows 10 Pro 64-bit Grade A",$357.99 –,https://www.newegg.com/dell-latitude-5480-work-business/p/N82E16834343411?Item=N82E16834343411&Description=laptop&cm_re=laptop-_-34-343-411-_-Product,old
"Refurbished: DELL Grade A Laptop Latitude 5289 Intel Core i7 7th Gen 7600U (2.80GHz) 16GB Memory 512 GB SSD Intel HD Graphics 620 12.5"" Touchscreen Windows 10 Pro 64-bit",$535.99 –,https://www.newegg.com/dell-latitude-5289/p/N82E16834343216?Item=N82E16834343216&Description=laptop&cm_re=laptop-_-34-343-216-_-Product,old
"Refurbished: DELL Laptop 5480 Intel Core i5 6th Gen 6200U (2.30GHz) 8GB Memory 512 GB SSD 14.0"" Windows 10 Pro 64bit",$404.99 –,https://www.newegg.com/dell-5480/p/N82E16834343078?Item=N82E16834343078&Description=laptop&cm_re=laptop-_-34-343-078-_-Product,old
"Refurbished: DELL Grade A Laptop Latitude Rugged 5414 Intel Core i5 6th Gen 6300U (2.40GHz) 8GB Memory 256 GB SSD Intel HD Graphics 520 14.0"" Touchscreen Windows 10 Pro 64-bit",$695.99 –,https://www.newegg.com/dell-latitude-rugged-5414/p/N82E16834843744?Item=N82E16834843744&Description=laptop&cm_re=laptop-_-34-843-744-_-Product,old
"Refurbished: DELL Grade B Laptop 7390 Intel Core i5 8th Gen 8350U (1.70GHz) 16GB Memory 256 GB SSD Intel UHD Graphics 620 13.3"" Windows 10 Pro 64-bit",$439.99 –,https://www.newegg.com/dell-7390/p/N82E16834343188?Item=N82E16834343188&Description=laptop&cm_re=laptop-_-34-343-188-_-Product,old
"Refurbished: DELL Laptop Precision 7710 Core i7 6820HQ (2.70GHz) 32GB Memory 1000 SSD 17.3"" Windows 10",$909.99 –,https://www.newegg.com/gray-dell-precision-7710-workstation/p/N82E16834844791?Item=N82E16834844791&Description=laptop&cm_re=laptop-_-34-844-791-_-Product,old
"Refurbished: DELL Grade A Laptop E5570 Intel Core i5 6th Gen 6200U (2.30GHz) 16GB Memory 1 TB SSD 15.6"" Windows 10 Pro",$594.99 –,https://www.newegg.com/dell-e5570/p/N82E16834843189?Item=N82E16834843189&Description=laptop&cm_re=laptop-_-34-843-189-_-Product,old
"Refurbished: Dell Latitude E7470 14.0-in Laptop - 8GB 256GB SSD Windows 10 Pro 64-Bit - Bluetooth, Webcam",$336.99 –,https://www.newegg.com/dell-latitude-e7470-everyday-value/p/1TS-000A-0M5G8?Item=1TS-000A-0M5G8&Description=laptop&cm_re=laptop-_-1TS-000A-0M5G8-_-Product,old
"Refurbished: DELL Laptop E5270 Intel Core i5 6300U (2.40GHz) 16GB Memory 512 SSD 12.5"" Windows 10",$369.99 –,https://www.newegg.com/gray-dell-e5270-workstation/p/N82E16834844751?Item=N82E16834844751&Description=laptop&cm_re=laptop-_-34-844-751-_-Product,old
"Refurbished: DELL Laptop 7490 Intel Core i5 8th Gen 8250U (1.60GHz) 16GB Memory 512 GB M.2 SSD 14.0"" Windows 10 Pro 64bit",$668.99 –,https://www.newegg.com/dell-7490/p/N82E16834343087?Item=N82E16834343087&Description=laptop&cm_re=laptop-_-34-343-087-_-Product,old
"Refurbished: DELL Grade A Laptop E5470 Intel Core i5 6th Gen 6300U (2.40GHz) 8GB Memory 256 GB SSD Intel HD Graphics 520 14.0"" Windows 10 Pro 64-bit",$389.99 –,https://www.newegg.com/dell-e5470/p/N82E16834844662?Item=N82E16834844662&Description=laptop&cm_re=laptop-_-34-844-662-_-Product,old
"Refurbished: DELL B Grade Laptop 5480 Intel Core i5 6th Gen 6440HQ (2.6GHz) 16GB Memory 256 GB SSD Intel HD Graphics 530 14.0"" Windows 10 Pro 64-bit",$379.99 –,https://www.newegg.com/gray-dell-5480-workstation/p/N82E16834343076?Item=N82E16834343076&Description=laptop&cm_re=laptop-_-34-343-076-_-Product,old
"Refurbished: DELL Grade A Laptop Latitude 7280 Intel Core i5 7th Gen 7300U (2.60GHz) 8GB Memory 256 GB SSD Intel HD Graphics 620 12.5"" Windows 10 Pro 64-bit",$369.99 –,https://www.newegg.com/dell-latitude-7280/p/N82E16834343227?Item=N82E16834343227&Description=laptop&cm_re=laptop-_-34-343-227-_-Product,old
